QB,Report,Note
Gross sale,No Sales Category Assigned,Gross Sale
Gross sale,Food,Gross Sale
Discount,Sales discounts,Gross Sale
Discount:Refund,Sales refunds,Net Sales Summary
Tax,Tax amount,Revenue Summary
Tip,Tips,Revenue Summary
GC Expense,Deferred (gift cards),Revenue Summary
Credit Card,Total of Credit/debit,Payments Summary
Gift Card,Total of Gift Card,Payments Summary
DoorDash,Doordash,Payments Summary - Other sub type
FanTuan,FanTuan,Payments Summary - Other sub type
UberEats,UberEats,Payments Summary - Other sub type
Over/Short,auto-balance,Calculated
